strategy_name,query_id,query_type,max_score,min_score,mean_score,std_dev,top_1_delta,top_doc_id
static_weighted_rrf,complex_01_cg,Complexity Type 1 (Relevant),0.01639344262295082,0.005818414322250639,0.00995988323269523,0.0047837106325960945,0.00026441036488630484,session_004
standard_unweighted_rrf,complex_01_cg,Complexity Type 1 (Relevant),0.04918032786885246,0.02919863597612958,0.03699531801266992,0.008392970657317669,0.0007932310946589111,session_004
dynamic_query_aware_rrf,complex_01_cg,Complexity Type 1 (Relevant),0.01639344262295082,0.0058290707587382775,0.00995988323269523,0.004794364198993612,0.00026441036488630484,session_004
dynamic_query_aware_score_fusion,complex_01_cg,Complexity Type 1 (Relevant),0.6772731173383297,0.32255489198366794,0.40945792631308703,0.11327062968849096,0.12368730712990939,session_004
static_weighted_rrf,complex_02_cg,Complexity Type 1 (Relevant),0.01639344262295082,0.014733644032800424,0.015296634468633396,0.0005254198635306382,0.00026441036488630484,session_004
standard_unweighted_rrf,complex_02_cg,Complexity Type 1 (Relevant),0.04918032786885246,0.04419642857142857,0.04588990340590019,0.001568040418299446,0.0007932310946589111,session_004
dynamic_query_aware_rrf,complex_02_cg,Complexity Type 1 (Relevant),0.01639344262295082,0.014722336931941086,0.015296634468633396,0.0005255887610933779,0.00026441036488630484,session_004
dynamic_query_aware_score_fusion,complex_02_cg,Complexity Type 1 (Relevant),0.8107365269167764,0.45723782136708346,0.5608458975563912,0.11489847191505917,0.09549546887718985,session_004
static_weighted_rrf,complex_03_cg,Complexity Type 1 (Relevant),0.01639344262295082,0.014733644032800424,0.015296634468633396,0.0005254198635306382,0.00026441036488630484,session_004
standard_unweighted_rrf,complex_03_cg,Complexity Type 1 (Relevant),0.04918032786885246,0.04419642857142857,0.04588990340590019,0.001568040418299446,0.0007932310946589111,session_004
dynamic_query_aware_rrf,complex_03_cg,Complexity Type 1 (Relevant),0.01639344262295082,0.014722336931941086,0.015296634468633396,0.0005255887610933779,0.00026441036488630484,session_004
dynamic_query_aware_score_fusion,complex_03_cg,Complexity Type 1 (Relevant),0.9520009086676073,0.5941767057807017,0.7005311659379132,0.11720729367325994,0.0958599446519417,session_004
static_weighted_rrf,complex_21_mix,Complexity Type 2 (Relevant),0.01605474553650122,0.0059482001755926245,0.012687573452922766,0.0043612762350406535,7.695988129621453e-05,session_003
standard_unweighted_rrf,complex_21_mix,Complexity Type 2 (Relevant),0.04839549075403121,0.029631255487269532,0.041541468379715805,0.007738433179110442,0.0010088272383354385,session_003
dynamic_query_aware_rrf,complex_21_mix,Complexity Type 2 (Relevant),0.016041525018256904,0.0059372256365232655,0.012687573452922766,0.004386309419459515,8.815938747191998e-05,session_003
dynamic_query_aware_score_fusion,complex_21_mix,Complexity Type 2 (Relevant),0.5872131238701933,0.2992502459685007,0.4801099985865441,0.12629962201515169,0.0010767445001153009,session_003
static_weighted_rrf,complex_22_mix,Complexity Type 2 (Relevant),0.016086065573770493,0.006287985039738195,0.013569926394099235,0.003642313427459615,0.0004317199194248389,session_003
standard_unweighted_rrf,complex_22_mix,Complexity Type 2 (Relevant),0.047643442622950824,0.030621785881252923,0.043012056615009925,0.0062233420631826845,0.0012200536156065922,session_003
dynamic_query_aware_rrf,complex_22_mix,Complexity Type 2 (Relevant),0.016086065573770493,0.006206171107994389,0.013569926394099235,0.0036869376408407103,0.00044337493107985196,session_003
dynamic_query_aware_score_fusion,complex_22_mix,Complexity Type 2 (Relevant),0.782722497245928,0.32758997623588815,0.6160398506264475,0.17340518193465587,0.001666425818084405,session_003
static_weighted_rrf,complex_23_mix,Complexity Type 2 (Relevant),0.01594402011922504,0.014727831431079894,0.015296634468633396,0.00040635326658481426,0.00011984429504921859,session_003
standard_unweighted_rrf,complex_23_mix,Complexity Type 2 (Relevant),0.047169957774465976,0.04433713784021071,0.0458899034059002,0.0010171572444197098,3.931064381884619e-05,session_003
dynamic_query_aware_rrf,complex_23_mix,Complexity Type 2 (Relevant),0.01596769436164928,0.014738805970149253,0.015296634468633396,0.0004147419021972993,0.00016793856189348255,session_003
dynamic_query_aware_score_fusion,complex_23_mix,Complexity Type 2 (Relevant),0.9378149026912089,0.45870584786523855,0.7621892885110764,0.1828712854276203,0.0008257045669243235,session_003
static_weighted_rrf,complex_24_mix,Complexity Type 2 (Relevant),0.016160470335675255,0.014663892812154062,0.015296634468633396,0.00041595380674914426,0.00046697750207650227,session_003
standard_unweighted_rrf,complex_24_mix,Complexity Type 2 (Relevant),0.047891458495966696,0.04412400911045794,0.0458899034059002,0.000978526736887239,0.0014524377189584353,session_003
dynamic_query_aware_rrf,complex_24_mix,Complexity Type 2 (Relevant),0.01614806954202446,0.014685523787711062,0.015296634468633396,0.0004269022959236766,0.0004316145959113553,session_003
dynamic_query_aware_score_fusion,complex_24_mix,Complexity Type 2 (Relevant),1.0,0.44102373581766546,0.8207539638974714,0.1955434573937533,0.0,session_003
static_weighted_rrf,ooc_01,Relevant (Outside Corpus),0.01600426361713379,0.014594269685433781,0.015296634468633396,0.0005140230079516535,8.428195944721467e-05,session_001
standard_unweighted_rrf,ooc_01,Relevant (Outside Corpus),0.04814747488101534,0.044337137840210705,0.04588990340590019,0.0012677829871882134,0.0007764431349835954,session_001
dynamic_query_aware_rrf,ooc_01,Relevant (Outside Corpus),0.01613275052882073,0.01482195224130708,0.015296634468633396,0.0004705777100276164,0.00022824519808589336,session_001
dynamic_query_aware_score_fusion,ooc_01,Relevant (Outside Corpus),0.4132240020572986,0.35991442275533864,0.3905414279438627,0.01623479209652796,0.0103516966694841,session_002
static_weighted_rrf,ooc_02,Relevant (Outside Corpus),0.01568216729507052,0.014694718467096983,0.015296634468633396,0.0003699533501940961,6.800994704223018e-06,session_001
standard_unweighted_rrf,ooc_02,Relevant (Outside Corpus),0.04715356328259554,0.04434349989184512,0.04588990340590019,0.0008557155828205567,0.0001383347783917993,session_001
dynamic_query_aware_rrf,ooc_02,Relevant (Outside Corpus),0.015759624154078434,0.014753075143100718,0.0152966344686334,0.00037853097261167763,2.8581003680444583e-05,session_009
dynamic_query_aware_score_fusion,ooc_02,Relevant (Outside Corpus),0.5475390506192375,0.37279134071628417,0.4108898874288268,0.06695886791696637,0.005860113410824486,session_009
static_weighted_rrf,ooc_03,Relevant (Outside Corpus),0.01568216729507052,0.014694718467096983,0.015296634468633396,0.0003699533501940961,6.800994704223018e-06,session_001
standard_unweighted_rrf,ooc_03,Relevant (Outside Corpus),0.04715356328259554,0.04434349989184512,0.04588990340590019,0.0008557155828205567,0.0001383347783917993,session_001
dynamic_query_aware_rrf,ooc_03,Relevant (Outside Corpus),0.015759624154078434,0.014753075143100718,0.0152966344686334,0.00037853097261167763,2.8581003680444583e-05,session_009
dynamic_query_aware_score_fusion,ooc_03,Relevant (Outside Corpus),0.5475390506192375,0.37279134071628417,0.4108898874288268,0.06695886791696637,0.005860113410824486,session_009
static_weighted_rrf,ooc_05,Relevant (Outside Corpus),0.006433184302036762,0.005886287625418061,0.006118653787453359,0.00021437779233144416,7.17303731581978e-06,session_001
standard_unweighted_rrf,ooc_05,Relevant (Outside Corpus),0.032266458495966696,0.029418126757516764,0.030593268937266792,0.0009640012780255777,0.0002644103648863083,session_003
dynamic_query_aware_rrf,ooc_05,Relevant (Outside Corpus),0.007298985167837627,0.006586632057105775,0.006883485510885029,0.000228008339954356,0.00011772556722318764,session_003
dynamic_query_aware_score_fusion,ooc_05,Relevant (Outside Corpus),0.25153557560178963,0.229561529636383,0.24056545690695436,0.005892245962152003,0.004815472099516133,session_003
static_weighted_rrf,ooc_06,Relevant (Outside Corpus),0.016157952141723955,0.01437229437229437,0.015296634468633396,0.0005615321889971805,0.00023591371727472998,session_001
standard_unweighted_rrf,ooc_06,Relevant (Outside Corpus),0.04814747488101534,0.04372294372294372,0.0458899034059002,0.001192659345418342,0.0012200536156065922,session_001
dynamic_query_aware_rrf,ooc_06,Relevant (Outside Corpus),0.01611953001057641,0.014415584415584413,0.015296634468633396,0.0005211478750368084,0.0002314282377108949,session_001
dynamic_query_aware_score_fusion,ooc_06,Relevant (Outside Corpus),0.4004498628336808,0.388715687850426,0.3955466801092542,0.004099771962851025,0.00011847541250031846,session_007
static_weighted_rrf,duration_01,Relevant (Other Duration),0.015771193248028604,0.014750416714382052,0.015296634468633396,0.0003509363282276217,7.178848612384228e-05,session_005
standard_unweighted_rrf,duration_01,Relevant (Other Duration),0.04718343765045739,0.04412400911045794,0.04588990340590019,0.0011061715912579308,6.042177744151889e-05,session_003
dynamic_query_aware_rrf,duration_01,Relevant (Other Duration),0.015840206360519974,0.014728785738825056,0.015296634468633394,0.00036625429431769087,0.000153202392266006,session_005
dynamic_query_aware_score_fusion,duration_01,Relevant (Other Duration),0.8346194770783582,0.5895767764377978,0.6586423353246236,0.08885454371253403,0.002800088739732476,session_005
static_weighted_rrf,duration_02,Relevant (Other Duration),0.01631411951348493,0.014536015574302402,0.015296634468633396,0.0005637738245383614,0.0004659052277706452,session_005
standard_unweighted_rrf,duration_02,Relevant (Other Duration),0.048915917503966164,0.04327731092436975,0.04588990340590019,0.0016066925410701735,0.0015448857579344194,session_005
dynamic_query_aware_rrf,duration_02,Relevant (Other Duration),0.016327340031729243,0.01453781512605042,0.015296634468633396,0.0005643277760168703,0.0004915265396657521,session_005
dynamic_query_aware_score_fusion,duration_02,Relevant (Other Duration),0.8469178307679178,0.5895261786889235,0.6632682660429613,0.09221508058712677,0.007343176544488794,session_005
static_weighted_rrf,duration_03,Relevant (Other Duration),0.01597782258064516,0.01453781512605042,0.015296634468633396,0.0004784135779056094,2.480080428107767e-05,session_009
standard_unweighted_rrf,duration_03,Relevant (Other Duration),0.04788306451612903,0.04327731092436975,0.0458899034059002,0.001318788997436455,0.0001708061358990376,session_009
dynamic_query_aware_rrf,duration_03,Relevant (Other Duration),0.016026425250795204,0.01453781512605042,0.0152966344686334,0.00048239014491795185,2.340105724681768e-05,session_005
dynamic_query_aware_score_fusion,duration_03,Relevant (Other Duration),0.6844647747484999,0.4782702398520033,0.616287345374512,0.05577071332839884,0.0005295767846477117,session_005
static_weighted_rrf,shotside_01,Relevant (Single Shotside),0.015887174541947928,0.0063538611925708696,0.013569926394099235,0.003599558606483428,1.4158668932055807e-05,session_005
standard_unweighted_rrf,shotside_01,Relevant (Single Shotside),0.047619047619047616,0.03128054740957967,0.04301205661500992,0.005845165673315529,0.00012628002020480256,session_004
dynamic_query_aware_rrf,shotside_01,Relevant (Single Shotside),0.01597155255544841,0.0063049853372434015,0.013569926394099239,0.003626576162143748,9.853668243253733e-05,session_005
dynamic_query_aware_score_fusion,shotside_01,Relevant (Single Shotside),0.6897651829451337,0.34418685625825063,0.44646695395789565,0.1277983872620726,0.00280349579436201,session_005
static_weighted_rrf,shotside_02,Relevant (Single Shotside),0.01631411951348493,0.014587471352177233,0.015296634468633396,0.0005486080904845902,0.00010576414595452402,session_007
standard_unweighted_rrf,shotside_02,Relevant (Single Shotside),0.048915917503966164,0.04391088038070517,0.0458899034059002,0.0015917280643088674,0.0002644103648863083,session_007
dynamic_query_aware_rrf,shotside_02,Relevant (Single Shotside),0.016327340031729243,0.014565189712248534,0.015296634468633396,0.0005566016628940826,0.00013220518244315416,session_007
dynamic_query_aware_score_fusion,shotside_02,Relevant (Single Shotside),0.7052927474406556,0.3674569738272283,0.49138276363991684,0.09504150543682736,0.10878618566874165,session_007
static_weighted_rrf,vague_01,Vague But Relevant,0.006505334374186834,0.005734989648033126,0.0061186537874533585,0.0002551219737550118,2.728043447239748e-05,session_003
standard_unweighted_rrf,vague_01,Vague But Relevant,0.03252247488101534,0.02877846790890269,0.030593268937266792,0.0012517765717677354,0.00025601638504864355,session_010
dynamic_query_aware_rrf,vague_01,Vague But Relevant,0.007337387625594924,0.006490683229813664,0.006883485510885028,0.000284045557191738,0.00011646647024753966,session_010
dynamic_query_aware_score_fusion,vague_01,Vague But Relevant,0.477111198516158,0.40107655287592914,0.4310842440025767,0.028682659653365958,0.003586462714048999,session_010
static_weighted_rrf,vague_02,Vague But Relevant,0.015823235923022098,0.006388621022179364,0.014439491611490538,0.0027094251515207973,2.2224658301154415e-05,session_001
standard_unweighted_rrf,vague_02,Vague But Relevant,0.04762704813108039,0.031099324975891997,0.044461331977328766,0.0045975070069270785,0.00034740926199033906,session_003
dynamic_query_aware_rrf,vague_02,Vague But Relevant,0.01610833927298646,0.0068707810993249765,0.014510920182919112,0.002586943983000529,0.0002558047107744793,session_001
dynamic_query_aware_score_fusion,vague_02,Vague But Relevant,0.3970662495302665,0.3434181768379182,0.36883317251317516,0.016688466160705028,0.010377297994132173,session_003
static_weighted_rrf,vague_03,Vague But Relevant,0.006530936012691698,0.005714285714285713,0.0061186537874533585,0.0002605520570194771,0.00010492474797075581,session_003
standard_unweighted_rrf,vague_03,Vague But Relevant,0.03252247488101534,0.02857142857142857,0.030593268937266792,0.0012885196996712347,0.00025601638504864355,session_003
dynamic_query_aware_rrf,vague_03,Vague But Relevant,0.007298985167837627,0.006428571428571428,0.006883485510885029,0.000291345341385454,1.259096975649715e-06,session_002
dynamic_query_aware_score_fusion,vague_03,Vague But Relevant,0.3934522639695775,0.3294244063123061,0.35873839460008883,0.022929628448653292,0.0009380987622097381,session_003
static_weighted_rrf,vague_04,Vague But Relevant,0.015823235923022098,0.005824175824175824,0.008070002280314278,0.003849396083622779,0.00012114863649458421,session_005
standard_unweighted_rrf,vague_04,Vague But Relevant,0.04727963886909005,0.02967032967032967,0.03384551642536833,0.006657299969782057,0.00031569200001983766,session_005
dynamic_query_aware_rrf,vague_04,Vague But Relevant,0.01610833927298646,0.006705069124423962,0.008672221629340874,0.003671965465994631,0.00019277950069044453,session_005
dynamic_query_aware_score_fusion,vague_04,Vague But Relevant,0.42146628774608375,0.23144342860078398,0.28017683052702597,0.06909284537589755,0.00720489356356846,session_005
static_weighted_rrf,vague_05,Vague But Relevant,0.01636700158646219,0.005734989648033126,0.008070002280314278,0.0040992802444798125,0.00021152829190904457,session_004
standard_unweighted_rrf,vague_05,Vague But Relevant,0.04891591750396616,0.02877846790890269,0.03384551642536833,0.0075119262380209,0.0002644103648863014,session_004
dynamic_query_aware_rrf,vague_05,Vague But Relevant,0.01631411951348493,0.006490683229813664,0.008672221629340874,0.0037990027188058322,0.00010576414595452402,session_004
dynamic_query_aware_score_fusion,vague_05,Vague But Relevant,0.558327935351255,0.29155144659678134,0.3647564712293295,0.09721092909369264,0.002953617524688923,session_004
static_weighted_rrf,other_sport_01,Out-of-Scope (Other Sport),0.006456494325346785,0.005778251599147121,0.0061186537874533585,0.00019466445114828102,8.168633763557236e-05,session_004
standard_unweighted_rrf,other_sport_01,Out-of-Scope (Other Sport),0.03200204813108039,0.029211087420042643,0.030593268937266792,0.0008127189882734391,0.00022399012351417835,session_001
dynamic_query_aware_rrf,other_sport_01,Out-of-Scope (Other Sport),0.0064060529634300135,0.005810234541577825,0.0061186537874533585,0.00017114007932749538,1.844415646636878e-05,session_004
dynamic_query_aware_score_fusion,other_sport_01,Out-of-Scope (Other Sport),0.23420746006061965,0.2121550743636066,0.2232496746516841,0.007821565128136735,0.0004376501695589341,session_005
static_weighted_rrf,other_sport_02,Out-of-Scope (Other Sport),0.006401209677419355,0.0058008658008658,0.0061186537874533585,0.00021292653704091407,1.2588655239990747e-05,session_001
standard_unweighted_rrf,other_sport_02,Out-of-Scope (Other Sport),0.032018442622950824,0.02919863597612958,0.0305932689372668,0.0009532195663885694,0.0002644103648863083,session_005
dynamic_query_aware_rrf,other_sport_02,Out-of-Scope (Other Sport),0.007261782786885246,0.0065245202558635385,0.006883485510885029,0.0002259593140052854,0.00015492794817556846,session_005
dynamic_query_aware_score_fusion,other_sport_02,Out-of-Scope (Other Sport),0.16300833293604813,0.09668715454603152,0.11856283659732372,0.01827623121777395,0.02655530600876052,session_009
static_weighted_rrf,other_sport_03,Out-of-Scope (Other Sport),0.006530936012691698,0.005778251599147121,0.0061186537874533585,0.0002219419836671455,0.00022163809997822592,session_001
standard_unweighted_rrf,other_sport_03,Out-of-Scope (Other Sport),0.03252247488101534,0.028985507246376812,0.0305932689372668,0.0010194665302704828,0.0010244590079994675,session_001
dynamic_query_aware_rrf,other_sport_03,Out-of-Scope (Other Sport),0.007297726070861977,0.006521739130434783,0.006883485510885028,0.00023861771202604955,0.00017381093103555414,session_001
dynamic_query_aware_score_fusion,other_sport_03,Out-of-Scope (Other Sport),0.19974525475502009,0.1806066718101501,0.18887177038192746,0.006135603340440467,0.001121777296066273,session_008
static_weighted_rrf,squash_other_01,Out-of-Scope (Informational),0.006426011264720942,0.005756302521008403,0.0061186537874533585,0.00020008218483315136,1.5441164402859968e-05,session_001
standard_unweighted_rrf,squash_other_01,Out-of-Scope (Informational),0.03200204813108039,0.028991596638655463,0.0305932689372668,0.0008554530332666213,0.0006832323738012111,session_001
dynamic_query_aware_rrf,squash_other_01,Out-of-Scope (Informational),0.007181259600614439,0.006554621848739495,0.006883485510885029,0.00020760627965646069,8.931377025093133e-05,session_001
dynamic_query_aware_score_fusion,squash_other_01,Out-of-Scope (Informational),0.24490661309781375,0.20536830371485665,0.2243810742713918,0.013599541608694102,0.004887438197486493,session_005
static_weighted_rrf,squash_other_02,Out-of-Scope (Informational),0.006505334374186834,0.0058008658008658,0.0061186537874533585,0.0002251264638313684,5.3721470961028486e-05,session_004
standard_unweighted_rrf,squash_other_02,Out-of-Scope (Informational),0.032266458495966696,0.029437229437229435,0.030593268937266792,0.0010424816671986946,8.393979837664767e-06,session_004
dynamic_query_aware_rrf,squash_other_02,Out-of-Scope (Informational),0.007258064516129032,0.006629464285714285,0.006883485510885029,0.00024305129787188996,3.714336078164751e-05,session_001
dynamic_query_aware_score_fusion,squash_other_02,Out-of-Scope (Informational),0.321071280793936,0.2980206703000562,0.3112462006737004,0.008015089385741442,0.0005192065594055162,session_008
static_weighted_rrf,squash_other_03,Out-of-Scope (Informational),0.006349206349206349,0.005824175824175824,0.0061186537874533585,0.00018708989335709724,2.6021337496745164e-06,session_005
standard_unweighted_rrf,squash_other_03,Out-of-Scope (Informational),0.031746031746031744,0.02919863597612958,0.0305932689372668,0.0007510824249600185,0.00042721598875256755,session_005
dynamic_query_aware_rrf,squash_other_03,Out-of-Scope (Informational),0.0071568387570345,0.006553708439897698,0.006883485510885029,0.00018856030498474633,1.3981614177357993e-05,session_001
dynamic_query_aware_score_fusion,squash_other_03,Out-of-Scope (Informational),0.11816276599854152,0.08449458230333157,0.10022512988911625,0.011305411919545401,0.002367113470547591,session_001
static_weighted_rrf,random_01,Random (non-Relevant),0.006530936012691698,0.005756302521008403,0.006118653787453358,0.00022806130381462585,0.00019968902183950792,session_001
standard_unweighted_rrf,random_01,Random (non-Relevant),0.03252247488101534,0.028985507246376812,0.030593268937266792,0.0010635330174121177,0.0010244590079994675,session_001
dynamic_query_aware_rrf,random_01,Random (non-Relevant),0.007297726070861977,0.006521739130434783,0.006883485510885029,0.0002471213947998556,0.00017381093103555414,session_001
dynamic_query_aware_score_fusion,random_01,Random (non-Relevant),0.17168458271026604,0.1303640584945678,0.1534184143543243,0.012765643763631306,0.0034703755378723,session_008
static_weighted_rrf,random_02,Random (non-Relevant),0.006456494325346785,0.00577639751552795,0.0061186537874533585,0.0002408529046689816,3.0483060625843307e-05,session_001
standard_unweighted_rrf,random_02,Random (non-Relevant),0.032018442622950824,0.02877846790890269,0.030593268937266792,0.001153707614080652,1.639449187043618e-05,session_004
dynamic_query_aware_rrf,random_02,Random (non-Relevant),0.007261782786885246,0.0064596273291925455,0.006883485510885028,0.00026470026228285785,4.212072851351133e-05,session_004
dynamic_query_aware_score_fusion,random_02,Random (non-Relevant),0.19165709304809564,0.16995365786552422,0.1795090202093124,0.0075865889082708735,0.0009161734580993564,session_004
static_weighted_rrf,random_03,Random (non-Relevant),0.006456494325346785,0.005840363400389357,0.0061186537874533585,0.00020144388774624548,3.0483060625843307e-05,session_001
standard_unweighted_rrf,random_03,Random (non-Relevant),0.03200204813108039,0.029418126757516764,0.030593268937266792,0.0008660399526285628,0.00022399012351417835,session_002
dynamic_query_aware_rrf,random_03,Random (non-Relevant),0.007181259600614439,0.006558441558441558,0.006883485510885029,0.0002095721980293865,2.4420843579939233e-05,session_002
dynamic_query_aware_score_fusion,random_03,Random (non-Relevant),0.154666989326477,0.12728693771362298,0.1407251490354537,0.006511046018160233,0.00816918373107911,session_007
static_weighted_rrf,random_04,Random (non-Relevant),0.006557377049180329,0.005714285714285713,0.0061186537874533585,0.000220068495121337,0.00020351585660945918,session_001
standard_unweighted_rrf,random_04,Random (non-Relevant),0.03278688524590164,0.02857142857142857,0.0305932689372668,0.0010058372734711195,0.0015063378363219734,session_001
dynamic_query_aware_rrf,random_04,Random (non-Relevant),0.007377049180327869,0.006428571428571428,0.006883485510885029,0.0002360005511409675,0.00033245714996733844,session_001
dynamic_query_aware_score_fusion,random_04,Random (non-Relevant),0.22720828223228448,0.18571297812461846,0.20383186244964593,0.012553447495510045,0.004982825517654416,session_001
static_weighted_rrf,random_05,Random (non-Relevant),0.006426011264720942,0.005818414322250639,0.0061186537874533585,0.00020111139793783591,1.5441164402859968e-05,session_002
standard_unweighted_rrf,random_05,Random (non-Relevant),0.03200204813108039,0.02919863597612958,0.030593268937266792,0.0008634602954904796,0.0005040322580645157,session_002
dynamic_query_aware_rrf,random_05,Random (non-Relevant),0.007181259600614439,0.006585677749360613,0.006883485510885029,0.00020909265384549378,2.4420843579939233e-05,session_002
dynamic_query_aware_score_fusion,random_05,Random (non-Relevant),0.20531106162071222,0.1558266823291778,0.17928752577304835,0.014564310475631935,0.011339555978775034,session_007
static_weighted_rrf,random_05,Random (non-Relevant),0.006410570100318082,0.005862977602108037,0.0061186537874533585,0.00020401424254452757,9.321076118238084e-06,session_001
standard_unweighted_rrf,random_05,Random (non-Relevant),0.032266458495966696,0.02964426877470356,0.030593268937266792,0.0008858692009764937,0.0005124262379021804,session_003
dynamic_query_aware_rrf,random_05,Random (non-Relevant),0.007298985167837627,0.0065934065934065925,0.006883485510885029,0.000213269226713353,0.00019213032912794928,session_003
dynamic_query_aware_score_fusion,random_05,Random (non-Relevant),0.2321042506694793,0.1909061079025268,0.21302059555053704,0.01313606333649481,0.0037369859218597257,session_003
